Peaches & Cream (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;;;
Strawberries;;g;1;31.00;0.40;5.80;5.70;0.80;0.00;0.06;;;;1
Strawberry powder [Supergarden];;g;2;287.00;3.70;50.90;50.60;7.60;0.00;0.51;;;;1
Strawberry slices freeze-dried [EWL];;g;4;300.00;3.30;48.00;48.00;7.00;0.01;;;Mix-in for a full tub (2 servings);;
Sugar;;g;2;387.00;;100.00;100.00;;;1.00;;;;1
Sultanas (organic) [Biojoy];;g;4;298.00;0.60;68.00;67.00;2.50;0.02;0.67;;add chopped as a mix-in [0kcal, 0g sugar];;
Sweet potato (baked);;g;1;90.00;0.10;21.00;6.50;2.00;0.04;;;1 potato ~130g;;1
Sweetener Tablets [LightSüß];;pcs;2;0.00;;;;;;;;1 tablet ≃ 4g sugar;;
Syrup Caramel (low-sugar) [Sukrin];;ml;3;149.00;0.00;21.00;1.80;0.00;0.07;;;14% sorbitol, erythritol, stevia;10.00;1
Syrup Maple-flavored (low-sugar) [Sukrin];;ml;3;149.00;0.00;21.00;1.80;0.00;0.07;;;14% sorbitol, erythritol, stevia;10.00;1
tajin with lime;;g;5;6.00;0.40;0.60;0.00;0.20;1.42;;;"142g shaker; www.tajin.com";;
Tapioca syrup;;ml;1;312.00;0.00;78.00;33.00;0.00;0.00;0.33;;;;1
Tara gum (E417);;g;2;185.00;0.31;87.00;0.00;2.26;0.00;;;;;1
Tequila 38 vol%;;g;1;266.00;;;;;;2.81;;1 bottle = 70cl;;1
Tofu (plain) [Berief];;g;1;137.00;8.00;0.70;0.50;15.40;0.03;;16.91;Package of 2x200g;;1
Tofu (plain) [REWE Bio];;g;1;129.00;7.50;1.80;0.50;13.00;0.20;;15.54;Package of 2x200g;;1
Tofu (silken) [REWE];;g;1;48.00;2.10;1.80;0.50;5.30;0.01;;7.46;;;1
Topfen / Quark 0.6% [Berchtesgadener];;g;1;70.00;0.60;3.60;3.60;11.90;0.08;0.04;11.40;"250g container; *US alternative:* low-fat cream cheese";;1
Topfen / Quark 14.4% [Berchtesgadener];;g;1;179.00;14.40;3.60;3.60;8.40;0.08;0.04;6.60;"250g container; *alternative:* 0g ricotta 9% and 0ml cream 32%";;1
Topfen / Quark 4.5% [Berchtesgadener];;g;1;101.00;4.50;3.70;3.70;11.00;0.08;0.04;16.50;;;1
Trehalose [SaporePuro];;g;2;355.00;0.00;89.00;89.00;0.00;0.03;1.00;;"POD = 45%; GI = 38";;1
Ube Yam Root powder [Fil Choice];;g;2;382.00;0.60;83.00;9.50;6.10;0.30;0.10;;like vanilla+pistachio;;1
Vanilla Bean Powder [InterVanilla];;g;2;288.00;0.10;13.00;13.00;0.00;0.00;;;;;1
Vanilla Extract (w/ alcohol) [Native Vanilla];;ml;1;300.00;;;;;;2.22;;;;1
Vodka 40 vol% (measured by volume);;ml;1;225.00;;;;;;2.34;;;;1
Vodka 40 vol% (measured by weigth);;g;1;280.00;;;;;;2.96;;;;1
Wafer Rolls [REWE];;g;5;523.00;28.00;63.00;31.00;5.10;0.57;;;1pc = 5g [0kcal, 0g sugar];;
Wafers (filled w/ lemon crème) [Manner];;g;4;503.00;25.00;66.00;46.00;2.90;0.10;0.46;;"*manually* mix in; 400g bag; 1pc ~7.5g";;
Wafers (filled w/vanilla crème) [DeBeukelaer];;g;4;500.00;23.00;65.00;23.00;7.20;0.20;0.23;;"*manually* mix in; 50g pack; 2pcs ~5g";;
Walnuts (organic) [Biojoy];;g;5;675.00;63.00;11.00;6.90;14.00;0.01;0.07;;add as a topping [0kcal, 0g sugar];;
Water (boiling);;ml;0;;;;;;;;;;;1
Water (cold);;ml;1;;;;;;;;;;;1
Water (hot);;ml;0;;;;;;;;;;;1
Water to MAX line;;ml;3;;;;;;;;;;;1
Watermelon;;g;1;30.00;0.15;7.60;6.20;0.61;0.00;0.06;;91% water;;1
Watermelon;;g;6;30.00;0.20;7.60;6.20;0.60;;0.06;;fresh [0kcal, 0g sugar];;
Whey protein Vanilla [MaxiNutrition];;g;2;392.00;5.80;6.20;5.30;78.00;0.57;0.05;89.20;;;1
White chocolate shavings [Ruf];;g;4;559.00;35.00;56.00;56.00;5.90;0.23;;;[0kcal, 0g sugar];;
White Wine dry 12 vol%;;ml;1;83.00;;2.70;0.80;0.10;;1.13;;;;1
Xanthan gum (E415, XG);;g;2;320.00;;78.00;;6.00;1.00;;;1tsp ≈ 2.8g;;1
Xylitol (E967);;g;2;238.00;;100.00;;;;2.20;;"POD = 100%; GI = 7";100.00;1
Yogurt 3.5% [REWE];;g;1;70.00;3.50;4.80;4.80;4.80;0.15;0.05;10.82;;;1
Yogurt 8% Apricot [Lyttos / Aldi];;g;1;131.00;8.00;12.20;11.50;2.60;0.09;0.12;16.53;;;1
Yogurt 8% Cherry [Lyttos / Aldi];;g;1;128.00;7.90;11.70;10.90;2.60;0.10;0.11;15.98;;;1
Yogurt mild 4% [REWE Bio];;ml;1;71.00;3.80;5.00;5.00;4.10;0.15;0.05;10.27;500g container;;1
Zucchini (raw, peeled);;g;1;17.00;0.30;3.40;2.10;1.20;0.00;;;;;1
Carageenan (kappa) [SaporePuro];;g;2;189.00;0.00;28.00;28.00;0.18;10.00;;;38g fiber;;1
Banana Powder (green plantain) [Govinda];;g;2;365.00;1.50;78.00;10.00;2.00;0.01;;;"About 7% fiber (resistant starch); must be cooked";;1
Caramel Candy (sugar-free) [Werther’s];;g;0;290.00;8.80;87.00;0.50;0.20;1.20;0.31;;"5pcs ≈ 16g; 84% isomalt, 15% butter+cream";;1
Halo Top – Peanut Butter Cup;;g;0;126.50;2.90;25.30;10.30;6.90;0.34;;;as a reference example;;1
Date syrup [Durra];;g;1;306.00;0.10;74.00;66.00;1.40;0.05;0.92;;;;1
Pineapple juice [REWE];;ml;1;51.00;0.10;11.50;11.50;0.40;0.01;0.12;;;;1
Cream of Coconut 15% [Coco López];;ml;3;324.00;15.00;47.00;46.00;0.10;0.04;0.46;;;;1
Irish Cream 17 vol% [Baileys];;g;1;280.00;;18.10;18.10;;0.00;1.78;;1 bottle = 700ml;;1
Irish Whiskey 40% [Jameson];;g;1;280.00;;;;;0.00;2.96;;1 bottle = 700ml;;1
Jam “Strawberry” [Schwartau Extra Zero];;g;5;56.00;0.20;17.20;3.20;0.40;0.02;;;"fruit spread, no added sugar; add as a topping [0kcal, 0g sugar]";14.00;
